Time,Latitude,Longitude,Device ID,Signal Strength
12:33:36,26.80821,79.00344,H-Handset-9520,-68dBm
12:33:49,26.80815,79.00351,H-Handset-9520,-69dBm
12:34:02,26.80830,79.00339,H-Handset-9520,-67dBm
21:22:22,26.80791,79.00310,H-Handset-9520,-72dBm
10:47:17,26.80780,79.00299,H-Handset-9520,-70dBm
15:36:57,26.78054,79.01073,H-Handset-9520,-65dBm
17:52:32,26.77919,79.02300,H-Handset-9520,-66dBm
15:37:56,26.76898,79.03874,H-Handset-9520,-71dBm
16:52:46,26.78107,79.01754,H-Handset-9520,-68dBm
20:59:06,26.77892,79.02806,H-Handset-9520,-74dBm
14:39:18,26.77885,79.02796,H-Handset-9520,-73dBm
22:29:27,26.79935,79.00673,H-Handset-9520,-69dBm
12:30:18,26.80332,79.00572,H-Handset-9520,-67dBm
12:46:38,26.78684,79.01459,H-Handset-9520,-70dBm
13:48:17,26.78107,79.01754,H-Handset-9520,-68dBm
14:22:22,26.78262,79.01327,H-Handset-9520,-65dBm
14:43:30,26.78107,79.01754,H-Handset-9520,-69dBm
18:46:52,26.80821,79.00344,H-Handset-9520,-70dBm
01:42:50,26.77892,79.02806,H-Handset-9520,-72dBm
12:45:43,26.79213,79.02505,H-Handset-9520,-67dBm
21:33:49,26.80771,79.00294,H-Handset-9520,-88dBm
21:36:20,24.10217,86.56664,H-Handset-9520,-90dBm
